State,Latitude,Longitude,Abbreviation
Alaska,63.588753,-154.493062,AK
Alabama,32.318231,-86.902298,AL
Arkansas,35.20105,-91.831833,AR
Arizona,34.048928,-111.093731,AZ
California,36.778261,-119.417932,CA
Colorado,39.550051,-105.782067,CO
Connecticut,41.603221,-73.087749,CT
District of Columbia,38.905985,-77.033418,DC
Delaware,38.910832,-75.52767,DE
Florida,27.664827,-81.515754,FL
Georgia,32.157435,-82.907123,GA
Hawaii,19.898682,-155.665857,HI
Iowa,41.878003,-93.097702,IA
Idaho,44.068202,-114.742041,ID
Illinois,40.633125,-89.398528,IL
Indiana,40.551217,-85.602364,IN
Kansas,39.011902,-98.484246,KS
Kentucky,37.839333,-84.270018,KY
Louisiana,31.244823,-92.145024,LA
Massachusetts,42.407211,-71.382437,MA
Maryland,39.045755,-76.641271,MD
Maine,45.253783,-69.445469,ME
Michigan,44.314844,-85.602364,MI
Minnesota,46.729553,-94.6859,MN
Missouri,37.964253,-91.831833,MO
Mississippi,32.354668,-89.398528,MS
Montana,46.879682,-110.362566,MT
North Carolina,35.759573,-79.0193,NC
North Dakota,47.551493,-101.002012,ND
Nebraska,41.492537,-99.901813,NE
New Hampshire,43.193852,-71.572395,NH
New Jersey,40.058324,-74.405661,NJ
New Mexico,34.97273,-105.032363,NM
Nevada,38.80261,-116.419389,NV
New York,43.299428,-74.217933,NY
Ohio,40.417287,-82.907123,OH
Oklahoma,35.007752,-97.092877,OK
Oregon,43.804133,-120.554201,OR
Pennsylvania,41.203322,-77.194525,PA
Puerto Rico,18.220833,-66.590149,PR
Rhode Island,41.580095,-71.477429,RI
South Carolina,33.836081,-81.163725,SC
South Dakota,43.969515,-99.901813,SD
Tennessee,35.517491,-86.580447,TN
Texas,31.968599,-99.901813,TX
Utah,39.32098,-111.093731,UT
Virginia,37.431573,-78.656894,VA
Vermont,44.558803,-72.577841,VT
Washington,47.751074,-120.740139,WA
Wisconsin,43.78444,-88.787868,WI
West Virginia,38.597626,-80.454903,WV
Wyoming,43.075968,-107.290284,WY
